code,name,mode,n_days,strategy_return,buyhold_return,sharpe,corr_signal_nextday,corr_signal_nextopen,corr_flow_vs_nextopen,veto_pct
000001,平安银行,v4,115,-0.035870,-0.080790,-1.013024,-0.023898,-0.177779,-0.067982,0.000000
000001,平安银行,tail,115,-0.040443,-0.080790,-1.120687,-0.014089,-0.193221,-0.124774,0.000000
000001,平安银行,veto,115,-0.033570,-0.080790,-0.952210,0.014194,-0.176339,-0.067982,0.147826
000333,美的集团,v4,115,-0.017258,0.030816,-0.326597,-0.057986,-0.205708,0.031732,0.000000
000333,美的集团,tail,115,-0.017258,0.030816,-0.326597,-0.060334,-0.211702,0.005007,0.000000
000333,美的集团,veto,115,-0.047849,0.030816,-0.869744,-0.020279,-0.209141,0.031732,0.243478
000858,五粮液,v4,115,-0.110722,-0.314180,-2.362173,0.000772,0.052287,-0.204578,0.000000
000858,五粮液,tail,115,-0.099276,-0.314180,-2.129680,-0.004684,0.039643,-0.158263,0.000000
000858,五粮液,veto,115,-0.090843,-0.314180,-1.974701,0.001037,0.031388,-0.204578,0.121739
600036,招商银行,v4,115,0.010098,-0.119013,0.071297,0.098985,-0.116220,0.212201,0.000000
600036,招商银行,tail,115,-0.009934,-0.119013,-0.383884,0.071213,-0.112875,0.213390,0.000000
600036,招商银行,veto,115,0.025896,-0.119013,0.423073,0.222914,-0.005824,0.212201,0.304348
600519,贵州茅台,v4,115,-0.102714,-0.145224,-1.429365,-0.052541,-0.038475,0.174856,0.000000
600519,贵州茅台,tail,115,-0.092133,-0.145224,-1.279246,-0.042012,-0.041991,0.066612,0.000000
600519,贵州茅台,veto,115,-0.092405,-0.145224,-1.426533,-0.032401,0.001154,0.174856,0.052174
600900,长江电力,v4,115,-0.034863,-0.008496,-0.978775,-0.051786,-0.200877,0.205948,0.000000
600900,长江电力,tail,115,-0.034863,-0.008496,-0.978775,-0.064941,-0.206346,0.035463,0.000000
600900,长江电力,veto,115,-0.023740,-0.008496,-0.688172,-0.019462,-0.125377,0.205948,0.234783
601012,隆基绿能,v4,115,-0.225209,-0.307193,-3.527260,-0.091079,-0.095010,-0.088119,0.000000
601012,隆基绿能,tail,115,-0.221440,-0.307193,-3.461435,-0.092051,-0.085720,-0.136281,0.000000
601012,隆基绿能,veto,115,-0.208244,-0.307193,-3.235159,-0.090225,-0.080932,-0.088119,0.156522
601318,中国平安,v4,115,-0.155158,-0.311712,-2.302541,-0.028422,-0.168023,-0.072571,0.000000
601318,中国平安,tail,115,-0.180574,-0.311712,-2.818929,-0.038681,-0.148033,0.047348,0.000000
601318,中国平安,veto,115,-0.155158,-0.311712,-2.302541,-0.034288,-0.186508,-0.072571,0.069565
