date,code,name,title,body,source,url,provider
2026-06-26,600900,长江电力,103股获杠杆资金净买入超亿元,5.50 电子 603407 长裕集团 1.46 20540.05 37753.88 11.44 有色金属 688037 芯源微 4.72 20013.60 112628.24 1.68 电子 603618 杭电股份 4.97 19931.18 143333.21 3.63 电力设备 600900,证券时报网,http://finance.eastmoney.com/a/202606263783954036.html,akshare
2026-06-25,600900,长江电力,32.84亿元资金今日流出公用事业股,东望时代 3.13 3.30 236.68 公用事业行业资金流出榜  代码 简称 今日涨跌幅（%） 今日换手率（%） 主力资金流量（万元） 600226 亨通股份 -1.84 14.16 -58995.79 001896 豫能控股 -9.36 13.35 -46959.78 600900,证券时报网,http://finance.eastmoney.com/a/202606253783105425.html,akshare
2026-06-25,600900,长江电力,68股获融资客大手笔净买入,机械设备 300302 同有科技 6.53 13586.31 165156.59 7.52 计算机 301358 湖南裕能 1.11 13453.38 232650.32 3.61 电力设备 688396 华润微 4.78 13444.00 185529.76 1.65 电子 600900,证券时报网,http://finance.eastmoney.com/a/202606253782332729.html,akshare
2026-06-24,600900,长江电力,长江电力的压舱石在被重新计算,长江电力（600900.SH）是这个稳定器里体量最大的一家，讨论它，本质上是在讨论中国能源转型这场变局里，较核心的一块。 从一座葛洲坝到六库联调的水电龙头 长江电力的发展轨迹，本质上是一部“控股股东建好电站、上市公司择机接手”的资产注入史。,红星资本局,http://finance.eastmoney.com/a/202606243781631219.html,akshare
2026-06-18,600900,长江电力,57.55亿元主力资金今日撤离公用事业板块,陕天然气 0.43 0.43 87.89 公用事业行业资金流出榜  代码 简称 今日涨跌幅（%） 今日换手率（%） 主力资金流量（万元） 601991 大唐发电 -9.97 8.12 -97178.28 001896 豫能控股 -8.78 14.04 -55238.79 600900,证券时报网,http://finance.eastmoney.com/a/202606183776183211.html,akshare
2026-06-16,600900,长江电力,83股获杠杆资金净买入超亿元,5.82 电子 601958 金钼股份 9.99 60161.91 151554.28 1.67 有色金属 300476 胜宏科技 5.28 57553.42 2317263.37 7.77 电子 300857 协创数据 7.73 43609.99 652577.50 5.56 电子 600900,证券时报网,http://finance.eastmoney.com/a/202606163772444463.html,akshare
2026-04-30,600900,长江电力,长江电力600900.SH)：2026年一季报净利润为67.61亿元、同比较去年同期上涨30.50%,2026年4月30日，长江电力600900.SH)发布2026年一季报。 公司营业总收入为181.12亿元，在已披露的同业公司中排名第6，较去年同报告期营业总收入增加10.96亿元，实现5年连续上涨，同比较去年同期上涨6.44%。,界面新闻,http://finance.eastmoney.com/a/202604303726076779.html,akshare
2026-04-30,600900,长江电力,长江电力600900.SH)：2025年年报净利润为345.03亿元、同比较去年同期上涨6.17%,2026年4月30日，长江电力600900.SH)发布2025年年报。 公司营业总收入为862.42亿元，在已披露的同业公司中排名第5，较去年同报告期营业总收入增加17.50亿元，实现4年连续上涨，同比较去年同期上涨2.07%。,界面新闻,http://finance.eastmoney.com/a/202604303726147821.html,akshare
2026-06-15,600900,长江电力,大盘蓝筹丨“重”石压舱：国家核心生产要素的资本化结晶，沪主板总资产429.3万亿元覆盖全A市场88%,例如，中国神华（601088.SH）的煤电路港航化一体化体系，长江电力（600900.SH）等电力企业的大规模发电能力，中国移动（600941.SH）的5G和算力网络，紫金矿业（601899.SH）的全球资源布局，都是国民经济运行不可或缺的底层资产。,中国经营报,http://finance.eastmoney.com/a/202606153771242234.html,akshare
2026-05-29,600900,长江电力,公用事业行业资金流入榜：华能蒙电、长江电力等净流入资金居前,（数据宝） 公用事业行业资金流入榜 代码 简称 今日涨跌幅（%） 今日换手率（%） 主力资金流量（万元） 600863 华能蒙电 9.94 9.12 94437.94 600900 长江电力 1.95 0.87 88736.06 000767 晋控电力 10.06 12.75,证券时报网,http://finance.eastmoney.com/a/202605293754527124.html,akshare
