2026-06-16,000001,47.73,51.79,4576,easy_tdx
2026-06-16,000333,48.97,47.09,4731,easy_tdx
2026-06-16,000858,49.17,47.11,4674,easy_tdx
2026-06-16,600036,43.43,55.76,4722,easy_tdx
2026-06-16,600519,47.32,50.06,4415,easy_tdx
2026-06-16,600900,54.88,43.91,4732,easy_tdx
2026-06-16,601012,50.05,49.07,4697,easy_tdx
2026-06-16,601318,50.47,46.83,4741,easy_tdx
2026-06-17,000001,46.42,53.04,4453,easy_tdx
2026-06-17,000333,43.07,52.03,4695,easy_tdx
2026-06-17,000858,44.85,51.09,4664,easy_tdx
2026-06-17,600036,48.99,47.51,4713,easy_tdx
2026-06-17,600519,43.05,54.38,4518,easy_tdx
2026-06-17,600900,55.98,43.10,4736,easy_tdx
2026-06-17,601012,45.20,53.55,4710,easy_tdx
2026-06-17,601318,46.99,49.88,4729,easy_tdx
2026-06-18,000001,54.27,45.56,4642,easy_tdx
2026-06-18,000333,43.78,52.62,4717,easy_tdx
2026-06-18,000858,49.17,47.71,4724,easy_tdx
2026-06-18,600036,57.26,40.74,4740,easy_tdx
2026-06-18,600519,49.07,49.36,4575,easy_tdx
2026-06-18,600900,56.72,42.71,4741,easy_tdx
2026-06-18,601012,45.75,53.33,4708,easy_tdx
2026-06-18,601318,55.08,42.05,4744,easy_tdx
2026-06-22,000001,51.45,47.92,4610,easy_tdx
2026-06-22,000333,50.54,46.12,4699,easy_tdx
2026-06-22,000858,48.12,47.53,4717,easy_tdx
2026-06-22,600036,50.56,47.50,4733,easy_tdx
2026-06-22,600519,49.55,48.90,4628,easy_tdx
2026-06-22,600900,52.81,46.18,4740,easy_tdx
2026-06-22,601012,46.27,52.21,4727,easy_tdx
2026-06-22,601318,47.77,48.84,4744,easy_tdx
2026-06-23,000001,39.56,58.86,4543,easy_tdx
2026-06-23,000333,42.04,53.52,4722,easy_tdx
2026-06-23,000858,51.11,45.43,4737,easy_tdx
2026-06-23,600036,48.36,49.83,4702,easy_tdx
2026-06-23,600519,44.48,54.35,4445,easy_tdx
2026-06-23,600900,46.62,51.89,4725,easy_tdx
2026-06-23,601012,52.67,46.80,4733,easy_tdx
2026-06-23,601318,48.99,47.21,4738,easy_tdx
2026-06-24,000001,46.79,51.81,4638,easy_tdx
2026-06-24,000333,43.61,52.05,4728,easy_tdx
2026-06-24,000858,43.14,52.79,4715,easy_tdx
2026-06-24,600036,57.15,41.27,4737,easy_tdx
2026-06-24,600519,44.29,54.11,4493,easy_tdx
2026-06-24,600900,52.94,46.17,4724,easy_tdx
2026-06-24,601012,49.24,49.81,4718,easy_tdx
2026-06-24,601318,50.03,46.99,4741,easy_tdx
2026-06-25,000001,48.67,50.71,4699,easy_tdx
2026-06-25,000333,42.96,53.22,4739,easy_tdx
2026-06-25,000858,42.51,53.73,4735,easy_tdx
2026-06-25,600036,55.62,41.97,4741,easy_tdx
2026-06-25,600519,44.02,55.02,4484,easy_tdx
2026-06-25,600900,53.99,44.94,4740,easy_tdx
2026-06-25,601012,45.50,53.05,4716,easy_tdx
2026-06-25,601318,48.11,47.29,4741,easy_tdx
2026-06-26,000001,59.86,39.88,4659,easy_tdx
2026-06-26,000333,49.82,45.85,4731,easy_tdx
2026-06-26,000858,50.20,45.25,4707,easy_tdx
2026-06-26,600036,57.79,40.19,4733,easy_tdx
2026-06-26,600519,44.77,54.31,4434,easy_tdx
2026-06-26,600900,51.59,46.85,4739,easy_tdx
2026-06-26,601012,54.14,44.87,4736,easy_tdx
2026-06-26,601318,52.60,44.15,4743,easy_tdx
2026-06-29,000001,56.29,43.71,4642,eastmoney_push2
2026-06-29,000333,44.64,55.36,4742,eastmoney_push2
2026-06-29,000858,52.17,47.83,4731,eastmoney_push2
2026-06-29,600036,52.25,47.75,4729,eastmoney_push2
2026-06-29,600519,52.10,47.90,4572,eastmoney_push2
2026-06-29,600900,50.25,49.75,4740,eastmoney_push2
2026-06-29,601012,49.95,50.05,4711,eastmoney_push2
2026-06-29,601318,50.05,49.95,4741,eastmoney_push2
date,code,active_buy_pct,active_sell_pct,n_ticks,source
